"","X","LUCAS_LC","S2.1","S2.2","S2.3","S2.4","S2.5","S2.6","S2.7","S2.8","S2.9","S2.10","SRTM","TimeScan.NDBImax","TimeScan.NDBImin","TimeScan.NDBIavg","TimeScan.NDBIsd","TimeScan.NDBIslope","TimeScan.mNDWImax","TimeScan.mNDWImin","TimeScan.mNDWIavg","TimeScan.mNDWIsd","TimeScan.mNDWIslope","TimeScan.NDVImax","TimeScan.NDVImin","TimeScan.NDVIavg","TimeScan.NDVIsd","TimeScan.NDVIslope","GUF","L8.evi","L8.msavi","L8.ndmi","L8.ndvi","L8.savi","L7.evi","L7.msavi","L7.ndmi","L7.ndvi","L7.savi","MOD.evi","MOD.ndvi","x","y","LCname"
"11",11,1,0.0272377636283636,0.0391444079577923,0.0356672443449497,0.0657499581575394,0.102102100849152,0.126652970910072,0.153627306222916,0.140298187732697,0.100521571934223,0.0702808052301407,346.101745605469,-0.593537390232086,-0.737386643886566,-0.678597092628479,0.0427083931863308,0.0469701290130615,0.693268954753876,0.568094432353973,0.610692381858826,0.0338241793215275,0.0357389226555824,0.391868680715561,0.0656201392412186,0.232709646224976,0.102819070219994,0.113653562963009,NA,0.382197231054306,0.359766662120819,0.170138895511627,0.619041681289673,0.382438898086548,0.408347219228745,0.236286103725433,0.0467583350837231,0.26717221736908,0.242733329534531,0.243745625019073,0.374513179063797,615055,5533595,"urban"
"12",12,1,0.0296612400561571,0.0437279380857944,0.0594805330038071,0.0702281221747398,0.126336857676506,0.148569628596306,0.148833036422729,0.1694325953722,0.105790004134178,0.0663294866681099,320.990539550781,-0.548597574234009,-0.741204142570496,-0.648531854152679,0.0510781295597553,0.0526389889419079,0.718782007694244,0.553070425987244,0.620481789112091,0.0480882301926613,0.051200982183218,0.380388468503952,-0.0304843056946993,0.142062708735466,0.111018761992455,0.122010640799999,NA,0.503405570983887,0.489850014448166,0.208077773451805,0.654480576515198,0.491716653108597,0.179336115717888,0.161291673779488,-0.00888055562973022,0.278577774763107,0.181844443082809,0.40241476893425,0.515060722827911,611275,5528215,"urban"
"13",13,1,0.0106422211974859,0.0198619663715363,0.016332121565938,0.0582687966525555,0.138664975762367,0.167272537946701,0.176123484969139,0.199989467859268,0.111848689615726,0.0623254850506783,414.426574707031,-0.613635063171387,-0.798202037811279,-0.72299736738205,0.0565615743398666,0.0431014522910118,0.68684995174408,0.501103937625885,0.58169960975647,0.0513245984911919,0.0438062138855457,0.56393700838089,0.192228436470032,0.402118533849716,0.133300974965096,0.118154272437096,NA,0.490474998950958,0.479575008153915,0.245100006461143,0.730925023555756,0.477874994277954,0.451350003480911,0.377900004386902,0.182675004005432,0.582225024700165,0.394699990749359,0.2990483045578,0.566040933132172,614055,5533995,"urban"
"14",14,1,0.0111163798719645,0.0288709755986929,0.0126969078555703,0.0567409507930279,0.181444600224495,0.210895106196404,0.2385543435812,0.240082189440727,0.0955165699124336,0.0429376736283302,295.286376953125,-0.590268671512604,-0.771044969558716,-0.679248809814453,0.0521306693553925,0.0443855226039886,0.807249128818512,0.526470363140106,0.618513882160187,0.0688119158148766,0.0792113691568375,0.444638699293137,-0.0513002388179302,0.211987808346748,0.162056341767311,0.168058410286903,NA,0.407383322715759,0.391050010919571,0.147725000977516,0.589508354663849,0.407241672277451,0.390183329582214,0.349700003862381,0.0825999975204468,0.564283311367035,0.371399998664856,0.319778889417648,0.494859129190445,610445,5535585,"urban"
"15",15,1,0.0601127445697784,0.0610610619187355,0.0675939098000526,0.0697012767195702,0.0753911808133125,0.0862968266010284,0.0829777121543884,0.0900900885462761,0.106896370649338,0.089563250541687,323.602600097656,-0.515782833099365,-0.714726209640503,-0.58388352394104,0.0588478110730648,0.0640575513243675,0.683805525302887,0.514284789562225,0.597176194190979,0.0451248586177826,0.0547651238739491,0.360627204179764,-0.0776846185326576,0.0526314862072468,0.122499205172062,0.107131652534008,1,0.173516660928726,0.159583330154419,-0.0936166644096375,0.325241655111313,0.184850007295609,0.152433335781097,0.129425004124641,-0.0818833336234093,0.275358319282532,0.152333334088326,0.34404456615448,0.518411755561829,609635,5527125,"urban"
"16",16,1,0.0172804389148951,0.0304515045136213,0.0277646072208881,0.046046044677496,0.116432219743729,0.151414573192596,0.155207842588425,0.170749694108963,0.0838206633925438,0.046046044677496,322.507904052734,-0.508168339729309,-0.771601319313049,-0.636906743049622,0.0690677762031555,0.0890362709760666,0.757134795188904,0.511713743209839,0.630552053451538,0.0565213933587074,0.0645879805088043,0.362319529056549,-0.11106364428997,0.0960475280880928,0.144190236926079,0.172965571284294,NA,0.18862222135067,0.175019443035126,0.185069441795349,0.33913055062294,0.200316667556763,0.111627779901028,0.0960083305835724,-0.0512305572628975,0.199100002646446,0.113486111164093,0.406199991703033,0.54610002040863,608465,5527355,"urban"
"17",17,1,0.0266582369804382,0.0428849905729294,0.0380380377173424,0.066276803612709,0.12206944078207,0.131341874599457,0.148042783141136,0.136399552226067,0.106158792972565,0.0739160180091858,327.824096679688,-0.580301940441132,-0.736537158489227,-0.655738830566406,0.0476684086024761,0.0550394020974636,0.665131986141205,0.536468803882599,0.593432486057281,0.0364462733268738,0.043028749525547,0.404037773609161,0.0525519028306007,0.208444982767105,0.104815579950809,0.113014072179794,NA,0.343608319759369,0.326008319854736,0.126566663384438,0.535566687583923,0.349200010299683,0.169683337211609,0.14792500436306,-0.0369499996304512,0.267075002193451,0.168541669845581,0.539600014686584,0.617200016975403,610845,5527625,"urban"
"18",18,1,0.0282914489507675,0.0432537794113159,0.0413571484386921,0.0671724379062653,0.109635949134827,0.128813028335571,0.131078451871872,0.141509935259819,0.0904588773846626,0.0594805330038071,327.85595703125,-0.527047216892242,-0.810869157314301,-0.613830506801605,0.0663883090019226,0.0727360993623734,0.700846135616302,0.517145335674286,0.613405168056488,0.0519669018685818,0.0619018189609051,0.43706887960434,-0.0457928441464901,0.0771642178297043,0.105821087956429,0.0962120741605759,NA,0.221441671252251,0.207408338785172,0.0841749981045723,0.391124993562698,0.234508335590363,0.138391673564911,0.115358330309391,-0.0166666675359011,0.248058333992958,0.136491671204567,0.512000024318695,0.619099974632263,607815,5527625,"urban"
"19",19,1,0.0414625145494938,0.0550550557672977,0.0631157457828522,0.0709130167961121,0.0972551479935646,0.102154783904552,0.140772357583046,0.121384546160698,0.113271169364452,0.0838733464479446,347.540405273438,-0.563439726829529,-0.670901596546173,-0.630756855010986,0.032775092869997,0.0366782732307911,0.664092838764191,0.563615500926971,0.605919480323792,0.0290270708501339,0.0346488207578659,0.225088715553284,0.0153924422338605,0.116312779486179,0.0625263005495071,0.0786368176341057,1,0.269377768039703,0.253255546092987,0.033616665750742,0.47030833363533,0.28096666932106,0.413763880729675,0.244149997830391,0.0572416670620441,0.280677765607834,0.251530557870865,0.242338955402374,0.374842166900635,615035,5533535,"urban"
"20",20,1,0.0213898103684187,0.0468889959156513,0.0394078306853771,0.0666982755064964,0.158948421478271,0.183288544416428,0.200885102152824,0.208893105387688,0.089563250541687,0.0484695211052895,324.560913085938,-0.61399507522583,-0.850985705852509,-0.712744176387787,0.0701667964458466,0.07061617821455,0.724409401416779,0.519537508487701,0.61647242307663,0.0560896247625351,0.0646714717149734,0.636417031288147,0.0703583732247353,0.318102359771729,0.165032237768173,0.150386869907379,NA,0.395933330059052,0.379308342933655,0.237141668796539,0.614499986171722,0.397841662168503,0.34198334813118,0.299791663885117,0.11259999871254,0.502699971199036,0.323974996805191,0.573300004005432,0.646899998188019,609705,5527535,"urban"
